RM,Description,Module,Criticité,Impact Business,Automatisable,Test API,Test E2E,Statut Couverture,Priorité,UCS Associé
RM-140,Bifurcation inscription Premium+Retail uniquement,Inscriptions,5,Perte CA si faux négatifs,API + E2E,rm-140-bifurcation.test.js,ucs07-inscription-bifurcation.spec.js,COUVERT,P0,UCS07
RM-127,type_formation assigné par FORGES exclusivement,Formations,5,Conflit partenaire,API,rm-127-type-formation.test.js,ucs17-18-partenaire.spec.js,COUVERT,P0,UCS18
RM-129,Commission FORGES calcul prix catalogue,Paiements,5,Perte marge,API,rm-129-commissions.test.js,ucs09-paiement-commissions.spec.js,COUVERT,P0,UCS09
RM-145,Commission Apporteur calcul,Apporteurs,5,Conflit apporteur,API,rm-145-147-commissions.test.js,ucs09-paiement-commissions.spec.js,COUVERT,P0,UCS09
RM-146,Agrégation commissions J+1,Apporteurs,5,Retard reversement,Scheduler,rm-145-147-commissions.test.js,ucs20-apporteur.spec.js,COUVERT,P0,UCS20
RM-147,Reversement conditionnel seuil,Apporteurs,5,Conflit apporteur,Scheduler,rm-145-147-commissions.test.js,ucs20-apporteur.spec.js,COUVERT,P0,UCS20
RM-102,Éligibilité abonnement auto,Abonnements,5,Faux accès Premium,API,rm-102-eligibilite.test.js,ucs03-2-abonnement-b2b.spec.js,COUVERT,P0,UCS03.2
RM-01,Unicité apprenant/session,Inscriptions,5,Doublon surréservation,API,rm-01-15-unicite.test.js,-,COUVERT,P1,UCS07
RM-07,Délai 72h Premium+Retail,Paiements,5,Places bloquées,Scheduler,rm-07-delai-72h.test.js,ucs08-traitement-dossier.spec.js,COUVERT,P1,UCS08
RM-05,RETENU irréversible,Inscriptions,5,Conflit modification,MANUEL,-,ucs08-traitement-dossier.spec.js,COUVERT,P1,UCS08
RM-37,Voucher lié formation,Vouchers,5,Fraude,API,rm-vouchers.test.js,-,COUVERT,P1,UCS06
RM-41,Voucher Org paiement auto,Vouchers,5,Perte tracking,API,rm-vouchers.test.js,-,COUVERT,P1,UCS06
RM-143,Code apporteur validation,Apporteurs,5,Double commission,API,rm-143-validation-code-apporteur.test.js,-,COUVERT,P0,UCS07
RM-144,Non-cumulabilité code apporteur,Apporteurs,5,Perte marge,API,rm-vouchers.test.js,-,COUVERT,P0,UCS07
RM-142,Code UUID permanent,Apporteurs,5,Tracking cassé,API,-,ucs20-apporteur.spec.js,COUVERT,P2,UCS20
RM-141,Taux défaut 5%,Apporteurs,5,Config,CONFIG,-,-,COUVERT (env),P2,UCS20
RM-28,Unicité email,Comptes,5,Doublon compte,API,rm-28-unicite-email.test.js,ucs00-01-auth.spec.js,COUVERT,P1,UCS00
RM-16,Cohérence 4 dates session,Sessions,5,Inscriptions impossibles,API,rm-16-17-sessions.test.js,-,COUVERT,P1,UCS05
RM-17,Non-chevauchement sessions,Sessions,5,Confusion,API,rm-16-17-sessions.test.js,-,COUVERT,P1,UCS05
RM-13,Archivage irréversible,Formations,5,Erreur UX,API,-,-,NON COUVERT,P2,UCS04
RM-22,Visibilité formation,Formations,5,Perte CA,API,-,-,NON COUVERT,P1,UCS04
RM-23,EN_ATTENTE_PLANIFICATION,Formations,5,Invisible,API,-,-,NON COUVERT,P2,UCS04
RM-26,Attestation conditions,Espace Apprenant,5,Attestation invalide,API,rm-26-27-attestations.test.js,ucs11-espace-apprenant.spec.js,COUVERT,P1,UCS11
